,text,device,emotion
2159,_ edchat musedchat classical newtwitter,,No emotion toward brand or product
2160,bout watch live apple store ipad living vicariously buy one,iPad,Positive emotion
2161,another late start damn google rocking 80's party,Google,Positive emotion
2162,spasmatics rockin aclu google party,Google,Positive emotion
2163,latin america produced next latism latam,,No emotion toward brand or product
2164,great location choice nice timing ipad2 launch apple hp popping,iPad,Positive emotion
2165,congratulation yes gowalla win best andoid app team android choice award thanks,Android App,Positive emotion
2166,atleast i'm ipad doubleloser,,No emotion toward brand or product
2168,way matt fricking damon google party maggie mae's,,No emotion toward brand or product
2169,iphone battery last long usage,iPhone,Negative emotion
2170,we're creature habit google found ctrs blue link far outpaced green darker link click got,,No emotion toward brand or product
2171,way atx found apple pop store scheduled close sunday let's hope rumor,,No emotion toward brand or product
2172,cnn launch tv everywhere service mobile google tv computer google,,No emotion toward brand or product
2173,launched ipad app get detail first edition free,,No emotion toward brand or product
2174,launched spin's ipad app ton music photo video whatcha think,iPad or iPhone App,Positive emotion
2175,heywire launch group chat facebook google twitter,,No emotion toward brand or product
2176,google launching major new social network,,No emotion toward brand or product
2177,google launching major new social network wonder,,No emotion toward brand or product
2178,ran gauntlet get seat ipad design talk expect it'll overflowing,,No emotion toward brand or product
2179,5th ave austin ipad2 line,,No emotion toward brand or product
2180,gdgtaustin attendee havin fun happy stop way last chance win ipad,,No emotion toward brand or product
2181,going austin austin guide iphone free mar 15 lp,,No emotion toward brand or product
2182,austinjs autocorrects sisyphus iphone sayin,iPhone,No emotion toward brand or product
2183,television still two screen expierence iphone ipad psych,iPhone,Positive emotion
2184,iphone paul reuben,,No emotion toward brand or product
2185,ppl spoken great session bing google danny sullivan bring back next year larger room qagb,Google,Positive emotion
2186,anyone leaving iphone ipad time kill airport flight download tiny wing welcome i'm sorry,iPad or iPhone App,Positive emotion
2187,google saving driver time fuel seo sem googlemaps mobile topnews,Other Google product or service,Positive emotion
2188,matthew davis designing ipad web like strip mall content,iPad,Positive emotion
2189,think saw lookalike line ipad apple pop shop he's got awesome profitable youtube channel,,No emotion toward brand or product
2190,ipad giveaway using,iPad,Positive emotion
2191,stepping away computer leaving iphone den disconnectedsundays booya good avro,,No emotion toward brand or product
2192,win awesome ipad quibids custom case catch wearing openbeta vip badge,iPad,Positive emotion
2193,awesome traded last year ipad,iPad,Positive emotion
2194,haha awesomely rad ipad app hollergram,iPad or iPhone App,Positive emotion
2195,haha awesomely rad ipad app hollergram,iPad or iPhone App,Positive emotion
2196,piece awesomeness arduino android flaming skull smartthings,Android,Positive emotion
2197,today iphone game celeb brand destination marketing,,No emotion toward brand or product
2198,dude may actually buy ipad tomorrow apple temporary store downtown austin,iPad,Positive emotion
2199,giving away ipad panel wish luck,iPad,Positive emotion
2200,giving away ipad sharer invite friend join aos ginger man,iPad,Positive emotion
2201,giving away apple gift card exchange serious style find u 6th conv cntr look hot we'll rest fashion,Apple,Positive emotion
2202,android may gaining market share never know apparently industry mover shaker apple loyalist,,Positive emotion
2203,say pretty smart timing apple drop ipad2 right top nearly anyones talking,iPad,Positive emotion
2204,say heard pop apple store pictured something along line inflatable bouncy castle,,No emotion toward brand or product
2205,marissa mayer google connect digital physical world mobile,,No emotion toward brand or product
2206,marissa mayer future ar contextual discovery image location personalized context recommendation,,No emotion toward brand or product
2207,marissa mayer google making smart phone smarter life efficient knowing sched gt suggest flight map weather,Google,Positive emotion
2208,marissa mayer 150 user google map mobile 1st time ever app born web use mobile app,,No emotion toward brand or product
2209,marissa mayer 150 million people use google map mobile device that's 50 since aug 2010,,No emotion toward brand or product
2210,marissa mayer demonstrating google art project take museum tour without leaving home art mass,,No emotion toward brand or product
2211,marissa mayer mobile cursor demo next gen google map really impressive btw,Other Google product or service,Positive emotion
2212,marissa mayer google speaking mobile phone usage google map surpassed online use past couple month,Other Google product or service,Positive emotion
2213,melissa mayer google say credit card company predict divorce 98 accuracy based spending pattern alone guardian,,No emotion toward brand or product
2214,merissa mayer google study mail order purchase led 98 accuracy predicting divorce two year advance,,No emotion toward brand or product
2215,marissa mayer rechristening augmented reality contextual discovery google tcs_dw,,No emotion toward brand or product
2216,marissa mayer talk future google map discus hotpot answer location based rating recommendation kek,Other Google product or service,Positive emotion
2217,marissa mayer taking phone location data ski hill laying elapsed movement skiiers onto google map,,No emotion toward brand or product
2218,marissa mayer google say 40 google map usage local google map 150m user day,,No emotion toward brand or product
2219,marissa mayer vp consumer product google great job audience ton respect google location,Google,Positive emotion
2220,marissa mayer vp search google live moment,,No emotion toward brand or product
2221,marissa mayer focus location based service demoed hotpot google map vector map augmented reality webvisions,Google,Positive emotion
2222,marissa mayer google wil connect digital physical world mobile,Google,Positive emotion
2223,marissa mayer google connect digital physical world mobile,,No emotion toward brand or product
2224,marissa mayer google connect digital physical world mobile,,No emotion toward brand or product
2225,marissa mayer 40 google map usage mobile 150 million mobile user google tc,,No emotion toward brand or product
2226,marissa mayer 40 google map usage mobile 150 million mobileusers goog,,No emotion toward brand or product
2227,marissa mayer 40 google map usage mobile surprised way north 50,,No emotion toward brand or product
2228,marissa mayer check in fun get thats google testing loyalty offer watch foursquare,,Positive emotion
